Name,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,Ingredient 5,Ingredient 6,Ingredient 7,Ingredient 8,Ingredient 9,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9
Dragonfly,Gin,Ginger ale,Lime,,,,,,,1.5,4,1,,,,,,
Dry Rob Roy,Scotch,Dry Vermouth,Lemon peel,,,,,,,2.5,0.15,,,,,,,
Dubonnet Cocktail,Dubonnet Rouge,Gin,Bitters,Lemon peel,,,,,,1.5,0.75,0.01,,,,,,
English Highball,Brandy,Gin,Sweet Vermouth,Carbonated water,Lemon peel,,,,,0.75,0.75,0.75,,,,,,
English Rose Cocktail,Apricot brandy,Gin,Dry Vermouth,Grenadine,Lemon juice,Cherry,,,,0.75,1.5,0.75,0.1,0.025,1,,,
Flander's Flake-Out,Sambuca,Sarsaparilla,,,,,,,,1,3,,,,,,,
Flying Dutchman,Gin,Triple sec,,,,,,,,2,0.5,,,,,,,
Flying Scotchman,Scotch,Sweet Vermouth,Bitters,Sugar syrup,,,,,,1,1,0.01,0.025,,,,,
Foxy Lady,Amaretto,Creme de Cacao,Light cream,,,,,,,0.5,0.5,2,,,,,,
French 75,Gin,Sugar,Lemon juice,Champagne,Orange,Maraschino cherry,,,,1.5,0.2,1.5,4,,,,,
French Connection,Cognac,Amaretto,,,,,,,,1.5,0.75,,,,,,,
Frisco Sour,Blended whiskey,Benedictine,Lemon,Lime,Lemon,Lime,,,,2,0.5,Juice of 1/4 ,Juice of 1/2 ,,,,,
Frozen Daiquiri,Light rum,Triple sec,Lime juice,Sugar,Cherry,Ice,,,,1.5,0.3,1.5,0.1,,,,,
Frozen Mint Daiquiri,Light rum,Lime juice,Mint,Sugar,,,,,,2,0.3,,0.1,,,,,
Frozen Pineapple Daiquiri,Light rum,Pineapple,Lime juice,Sugar,,,,,,1.5,4,0.3,0.5,,,,,
Gentleman's Club,Gin,Brandy,Sweet Vermouth,Club soda,,,,,,1.5,1,1,1,,,,,
GG,Galliano,Ginger ale,Ice,,,,,,,2.5,4,,,,,,,
Gideon's Green Dinosaur,Dark rum,Vodka,Triple sec,Tequila,Melon liqueur,Mountain Dew,,,,0.5,0.5,0.5,0.5,0.5,6,,,
Gin And Tonic,Gin,Tonic water,Lime,,,,,,,2,5,,,,,,,
Gin Cooler,Gin,Carbonated water,Powdered sugar,Orange spiral,Lemon peel,,,,,2,8,,,,,,,
Gin Daisy,Gin,Lemon juice,Sugar,Grenadine,Maraschino cherry,Orange,,,,2,1,0.05,0.05,,,,,
Gin Fizz,Gin,Lemon,Powdered sugar,Carbonated water,,,,,,2,0.5,0.1,,,,,,
Gin Sling,Gin,Lemon,Powdered sugar,Water,Orange peel,,,,,2,0.5,0.1,0.1,,,,,
Gin Smash,Gin,Carbonated water,Sugar,Mint,Orange,Cherry,,,,2,1,,,,,,,
Gin Sour,Gin,Lemon juice,Sugar,Orange,Maraschino cherry,,,,,2,1,0.5,,,,,,
Gin Squirt,Gin,Grenadine,Powdered sugar,Pineapple,Strawberries,Carbonated water,,,,1.5,0.1,0.3,,,,,,
Gin Swizzle,Lime juice,Sugar,Gin,Bitters,Club soda,,,,,1.5,0.1,2,0.01,3,,,,
Gin Toddy,Gin,Water,Powdered sugar,Lemon peel,,,,,,2,0.2,0.05,,,,,,
Girl From Ipanema,Cachaca,Lemon Juice,Agave Syrup,Champagne,,,,,,25,15,10,15,,,,,
Godchild,Vodka,Amaretto,Heavy cream,,,,,,,1,1,1,,,,,,
Godfather,Scotch,Amaretto,,,,,,,,1.5,0.75,,,,,,,
Godmother,Vodka,Amaretto,,,,,,,,1.5,0.75,,,,,,,
Golden dream,Galliano,Triple Sec,orange juice,Cream,,,,,,2,2,2,1,,,,,
Grand Blue,Malibu rum,Peach schnapps,Blue Curacao,Sweet and sour,,,,,,1.5,1.5,1.5,3,,,,,
Grass Skirt,Gin,Triple sec,Pineapple juice,Grenadine,Pineapple,,,,,1.5,1,1,0.05,,,,,
Grasshopper,Green Creme de Menthe,Creme de Cacao,Light cream,,,,,,,0.75,0.75,0.75,,,,,,
Grim Reaper,Kahlua,151 proof rum,Grenadine,,,,,,,1,1,0.01,,,,,,
Grizzly Bear,Amaretto,Jägermeister,Kahlua,Milk,,,,,,1,1,1,2.5,,,,,
Happy Skipper,Spiced rum,Ginger ale,Lime,Ice,,,,,,1.5,10,,,,,,,
Harvey Wallbanger,Vodka,Galliano,Orange juice,,,,,,,1,0.5,4,,,,,,
Havana Cocktail,Light rum,Pineapple juice,Lemon juice,,,,,,,1,1,0.1,,,,,,
Hawaiian Cocktail,Gin,Triple sec,Pineapple juice,,,,,,,2,0.5,0.3,,,,,,
Hemingway Special,Rum,Grapefruit Juice,Maraschino Liqueur,Lime Juice,,,,,,12,8,3,3,,,,,
Highland Fling Cocktail,Scotch,Sweet Vermouth,Orange bitters,Olive,,,,,,1.5,0.75,0.02,,,,,,
Horse's Neck,Lemon peel,Brandy,Ginger ale,Bitters,,,,,,,2,5,0.02,,,,,
Ice Pick #1,Vodka,Iced tea,Lemon juice,,,,,,,1.5,6," to taste
",,,,,,
Imperial Fizz,Light rum,Blended whiskey,Lemon,Powdered sugar,Carbonated water,,,,,0.5,1.5,0.5,0.1,,,,,
Ipamena,Lime,Brown sugar,Passion fruit juice,Ginger ale,Ice,,,,,½,2 tsp,4 cl,top up with,fill,,,,
Irish Spring,Irish whiskey,Peach brandy,Orange juice,Sweet and sour,Orange,Cherry,,,,1,0.5,1,1,,,,,
Jack Rose Cocktail,Apple brandy,Grenadine,Lime,,,,,,,1.5,0.1,0.5,,,,,,
Jackhammer,Jack Daniels,Amaretto,,,,,,,,1,1,,,,,,,
Japanese Fizz,Blended whiskey,Lemon,Powdered sugar,Port,Egg white,Carbonated water,,,,1.5,0.5,0.1,0.3,1,,,,
Jewel Of The Nile,Gin,Green Chartreuse,Yellow Chartreuse,,,,,,,1.5,0.5,0.5,,,,,,
John Collins,Bourbon,Lemon juice,Sugar,Club soda,Maraschino cherry,Orange,,,,2,1,0.1,3,,,,,
Kamikaze,Vodka,Triple sec,Lime juice,,,,,,,1,1,1,,,,,,
Karsk,Coffee,Grain alcohol,,,,,,,,1,2,,,,,,,
Kentucky B And B,Bourbon,Benedictine,,,,,,,,2,0.5,,,,,,,
Kentucky Colonel,Bourbon,Benedictine,Lemon peel,,,,,,,3,0.5,,,,,,,
Kir,Creme de Cassis,Champagne,,,,,,,,1,5,,,,,,,
Kir Royale,Creme de Cassis,Champagne,,,,,,,,1,5,,,,,,,
Kiss me Quick,Cranberry vodka,Apfelkorn,Schweppes Russchian,Apple juice,Ice,,,,,4,2,7,8,,,,,
Kiwi Lemon,Kiwi liqueur,Bitter lemon,Ice,,,,,,,1,2,,,,,,,
Lady Love Fizz,Gin,Light cream,Powdered sugar,Lemon,Egg white,Carbonated water,,,,2,0.2,0.1,0.5,1,,,,
Loch Lomond,Scotch,Drambuie,Dry Vermouth,Lemon peel,,,,,,2,0.5,0.5,,,,,,
London Town,Gin,Maraschino liqueur,Orange bitters,,,,,,,1.5,0.5,0.02,,,,,,
Lone Tree Cocktail,Sweet Vermouth,Gin,,,,,,,,0.75,1.5,,,,,,,
Lone Tree Cooler,Carbonated water,Gin,Dry Vermouth,Powdered sugar,Orange spiral,Lemon peel,,,,,,,,,,,,
Long Island Iced Tea,Vodka,Tequila,Light rum,Gin,Coca-Cola,Lemon peel,,,,0.5,0.5,0.5,0.5,0.01,,,,
Long Island Tea,Vodka,Light rum,Gin,Tequila,Lemon,Coca-Cola,,,,0.5,0.5,0.5,0.5,0.5,0.5,,,
Long vodka,Vodka,Lime,Angostura bitters,Tonic water,Ice,,,,,5 cl ,2-Jan,4 dashes ,1 dl Schweppes ,4,,,,
Lord And Lady,Dark rum,Tia maria,,,,,,,,1.5,0.5,,,,,,,
Mai Tai,Light rum,Orgeat syrup,Triple sec,Sweet and sour,Cherry,,,,,1,0.5,0.5,1.5,,,,,
Margarita,Tequila,Triple sec,Lime juice,Salt,,,,,,1.5,0.5,1,,,,,,
Midnight Cowboy,Bourbon,Dark rum,Heavy cream,,,,,,,2,1,0.5,,,,,,
Midnight Manx,Kahlua,Baileys irish cream,Goldschlager,Heavy cream,Coffee,,,,,1,1,0.5,2,2,,,,
Mimosa,Champagne,Orange juice,,,,,,,,Chilled ,2 oz ,,,,,,,
Mint Julep,Mint,Bourbon,Powdered sugar,Water,,,,,,,2.5,0.1,0.2,,,,,
Mississippi Planters Punch,Brandy,Light rum,Bourbon,Lemon,Powdered sugar,Carbonated water,,,,1,0.5,0.5,0.5,0.3,,,,
Monkey Gland,Gin,Benedictine,Orange juice,Grenadine,,,,,,2,0.1,0.5,0.1,,,,,
Monkey Wrench,Light rum,Grapefruit juice,Bitters,,,,,,,1.5,3,0.01,,,,,,
National Aquarium,Rum,Vodka,Gin,Blue Curacao,Sour mix,Lemon-lime soda,,,,0.5,0.5,0.5,0.5,2,0.5,,,
Negroni,Gin,Campari,Sweet Vermouth,,,,,,,1,1,1,,,,,,
New York Sour,Blended whiskey,Lemon,Sugar,Red wine,Lemon,Cherry,,,,2,0.5,0.1," (Claret)
",,,,,
Orange Oasis,Cherry brandy,Gin,Orange juice,Ginger ale,,,,,,0.5,1.5,4,,,,,,
Orange Push-up,Spiced rum,Grenadine,Orange juice,Sour mix,,,,,,1.5,0.5,4,0.5,,,,,
Oreo Mudslide,Vodka,Kahlua,Baileys irish cream,Vanilla ice-cream,Oreo cookie,,,,,1,1,1,2,,,,,
Orgasm,Creme de Cacao,Amaretto,Triple sec,Vodka,Light cream,,,,,0.5,0.5,0.5,0.5,1,,,,
Owen's Grandmother's Revenge,Whiskey,Beer,Lemonade,Ice,,,,,,12,12,12,,,,,,
Paradise,Gin,Apricot Brandy,Orange Juice,,,,,,,7,4,3,,,,,,
Pina Colada,Light rum,Coconut milk,Pineapple,,,,,,,3,0.9,0.9,,,,,,
Pink Gin,Bitters,Gin,,,,,,,,0.03,2,,,,,,,
Pink Lady,Gin,Grenadine,Light cream,Egg white,,,,,,1.5,0.1,0.1,1,,,,,
Pink Panty Pulldowns,Sprite,Pink lemonade,Vodka,,,,,,,34,16,16,,,,,,
Popped cherry,Vodka,Cherry liqueur,Cranberry juice,Orange juice,,,,,,2,2,4,4,,,,,
Poppy Cocktail,Gin,Creme de Cacao,,,,,,,,1.5,0.75,,,,,,,
Port And Starboard,Grenadine,Green Creme de Menthe,,,,,,,,0.3,0.5,,,,,,,
Port Wine Cocktail,Port,Brandy,,,,,,,,2.5,0.05,,,,,,,
Port Wine Flip,Port,Light cream,Powdered sugar,Egg,Nutmeg,,,,,1.5,0.2,0.1,1,,,,,
Porto flip,Brandy,Port,Egg Yolk,,,,,,,3,9,2,,,,,,
Pysch Vitamin Light,Orange juice,Apple juice,Pineapple juice,Ice,,,,,,1,1,1,,,,,,
Quaker's Cocktail,Light rum,Brandy,Lemon,Raspberry syrup,,,,,,0.75,0.75,0.25,0.2,,,,,
Quarter Deck Cocktail,Light rum,Sherry,Lime,,,,,,,1 1/2,0.33,0.5,,,,,,
Queen Bee,Coffee brandy,Lime vodka,Sherry,,,,,,,1,1.5,0.5,,,,,,
Queen Charlotte,Red wine,Grenadine,Lemon-lime soda,,,,,,,2,1,,,,,,,
Queen Elizabeth,Dry Vermouth,Gin,Benedictine,,,,,,,0.5,1.5,1.5,,,,,,
Quentin,Dark rum,Kahlua,Light cream,Nutmeg,,,,,,1.5,0.5,1,0.0175,,,,,
Quick-sand,Black Sambuca,Orange juice,,,,,,,,25,250,,,,,,,
Radioactive Long Island Iced Tea,Rum,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,,1,1,1,1,1,1,1,1,
Radler,Beer,7-Up,,,,,,,,12,12,,,,,,,
Rose,Dry Vermouth,Gin,Apricot brandy,Lemon juice,Grenadine,Powdered sugar,,,,0.5,1,0.5,0.05,0.1,,,,
Royal Fizz,Gin,Sweet and sour,Egg,Coca-Cola,,,,,,1,2,1,,,,,,
Royal Gin Fizz,Gin,Lemon,Powdered sugar,Egg,Carbonated water,,,,,2,0.5,0.1,1,8,,,,
Rum Cobbler,Sugar,Club soda,Lemon,Dark rum,Maraschino cherry,Orange,,,,0.1,3,1,2,,,,,
Rum Cooler,Rum,Lemon-lime soda,Lemon,,,,,,,2,4,1,,,,,,
Rum Milk Punch,Light rum,Milk,Powdered sugar,Nutmeg,,,,,,2,8,0.1,,,,,,
Rum Old-fashioned,Light rum,151 proof rum,Powdered sugar,Bitters,Water,Lime peel,,,,1.5,0.1,0.05,0.01,0.1,,,,
Rum Screwdriver,Light rum,Orange juice,,,,,,,,1.5,5,,,,,,,
Rum Sour,Light rum,Lemon juice,Sugar,Orange,Maraschino cherry,,,,,2,1,0.05,,,,,,
Rum Toddy,Rum,Powdered sugar,Lemon peel,Water,,,,,,2,0.2,,0.2,,,,,
Russian Spring Punch,Vodka,Creme de Cassis,Sugar Syrup,Lemon Juice,,,,,,2.5,1.5,1,2.5,,,,,
Rusty Nail,Scotch,Drambuie,Lemon peel,,,,,,,1.5,0.5,,,,,,,
Salty Dog,Grapefruit juice,Gin,Salt,,,,,,,5,1.5,0.025,,,,,,
San Francisco,Vodka,Creme de Banane,Grenadine,Orange juice,,,,,,2,2,,,,,,,
Sazerac,Ricard,Sugar,Peychaud bitters,Water,Bourbon,Lemon peel,,,,0.1,0.05,0.02,0.1,2,,,,
Scooter,Brandy,Amaretto,Light cream,,,,,,,1,1,1,,,,,,
Scotch Cobbler,Scotch,Brandy,Curacao,Orange,Mint,,,,,2,0.04,0.04,,,,,,
Scotch Sour,Scotch,Lime,Powdered sugar,Lemon,Cherry,,,,,1.5,0.5,0.05,,,,,,
Screaming Orgasm,Vodka,Baileys irish cream,Kahlua,,,,,,,1,1.5,0.5,,,,,,
Screwdriver,Vodka,Orange juice,,,,,,,,2,8,,,,,,,
Sea breeze,Vodka,Cranberry juice,Grapefruit juice,,,,,,,1.5,4,1,,,,,,
Sex on the Beach,Vodka,Peach schnapps,Cranberry juice,Grapefruit juice,,,,,,1,0.75,,,,,,,
Shanghai Cocktail,Light rum,Anisette,Grenadine,Lemon,,,,,,1,0.1,0.05,0.25,,,,,
Sherry Eggnog,Sherry,Powdered sugar,Egg,Milk,Nutmeg,,,,,2,0.1,1,4,,,,,
Sherry Flip,Sherry,Light cream,Powdered sugar,Egg,Nutmeg,,,,,1.5,0.2,0.1,1,,,,,
Sidecar,Cognac,Cointreau,Lemon juice,,,,,,,2,0.5,1,,,,,,
Sidecar Cocktail,Brandy,Triple sec,Lemon,,,,,,,1,0.5,0.25,,,,,,
Singapore Sling,Cherry brandy,Grenadine,Gin,Sweet and sour,Carbonated water,Cherry,,,,0.5,0.5,1,2,,,,,
Sloe Gin Cocktail,Sloe gin,Dry Vermouth,Orange bitters,,,,,,,2,0.025,0.01,,,,,,
Snowball,Advocaat,Lemonade,Lemon,Ice,,,,,,1.5,10,,,,,,,
Sol Y Sombra,Brandy,Anisette,,,,,,,,1.5,1.5,,,,,,,
Space Odyssey,151 proof rum,Malibu rum,Pineapple juice,Orange juice,Grenadine,Cherries,,,,1,1,1,,,,,,
Spritz,Prosecco,Campari,Soda Water,,,,,,,6,4,0.5,,,,,,
Stinger,Brandy,White Creme de Menthe,,,,,,,,1.5,0.5,,,,,,,
